STATE/UT,YEAR,0-3 hrs. (Night),3-6 hrs. (Night),6-9 hrs (Day),9-12 hrs (Day),12-15 hrs (Day),15-18 hrs (Day),18-21 hrs (Night),21-24 hrs (Night),Total
Tripura,2005,11,3,90,185,142,145,76,10,662
Tripura,2006,12,34,191,219,184,90,42,21,793
Tripura,2007,7,5,165,199,213,132,59,21,801
Tripura,2008,17,26,78,187,166,143,114,36,767
Tripura,2009,10,13,101,179,185,215,105,57,865
Tripura,2010,8,17,113,205,175,183,130,70,901
Tripura,2011,4,13,88,157,194,183,141,54,834
Tripura,2012,10,18,88,195,160,205,147,65,888
Tripura,2013,20,22,92,174,122,176,151,61,818
Tripura,2014,15,21,53,199,123,161,96,48,716
Uttar Pradesh,2001,2324,3659,2336,2243,1971,2075,2002,1311,17921
Uttar Pradesh,2002,1444,1716,1440,2197,2015,2098,2072,1475,14457
Uttar Pradesh,2003,1087,1322,1764,1721,1365,1448,1497,1150,11354
Uttar Pradesh,2004,1262,1645,1970,2000,1838,1933,2072,1654,14374
Uttar Pradesh,2005,1226,1598,2145,2233,1956,2052,1951,1528,14689
Uttar Pradesh,2006,1860,1731,2252,2506,1951,2189,2035,1683,16207
Uttar Pradesh,2007,1615,1793,2790,2835,2282,2509,2351,1856,18031
Uttar Pradesh,2008,1791,2236,2572,2723,2467,2672,2592,2011,19064
Uttar Pradesh,2009,2219,2894,1338,3478,2989,3074,3404,2589,21985
Uttar Pradesh,2010,2232,2924,3602,3588,3208,3194,3573,3095,25416
Uttar Pradesh,2011,2096,3012,3009,3501,3137,3450,3617,2691,24513
Uttar Pradesh,2012,1994,2708,3424,3600,3128,3619,3620,2385,24478
Uttar Pradesh,2013,2134,2796,3604,3861,3469,3674,3883,2554,25975
Uttar Pradesh,2014,2106,2824,3376,3547,3522,3929,4099,2661,26064
Uttarakhand,2001,94,152,138,130,124,118,141,106,1003
Uttarakhand,2002,33,65,153,231,222,240,104,69,1117
Uttarakhand,2003,47,40,143,259,264,194,156,83,1186
Uttarakhand,2004,49,38,152,214,247,281,178,93,1252
Uttarakhand,2005,36,45,146,234,268,252,228,123,1332
Uttarakhand,2006,39,44,187,245,268,299,238,141,1461
Uttarakhand,2007,42,53,226,303,336,241,197,124,1522
Uttarakhand,2008,73,86,173,209,237,271,213,147,1409
Uttarakhand,2009,47,67,210,254,234,284,186,101,1383
Uttarakhand,2010,51,107,179,214,275,308,202,143,1479
Uttarakhand,2011,35,43,183,288,280,288,241,137,1495
Uttarakhand,2012,36,80,171,283,205,275,308,97,1455
Uttarakhand,2013,39,67,191,222,191,230,235,122,1297
Uttarakhand,2014,61,81,95,122,117,137,113,75,801
West Bengal,2001,832,1161,1372,1862,1759,1677,1808,959,11430
West Bengal,2002,776,1240,1461,1907,1782,1497,1549,1025,11237
West Bengal,2003,726,1182,1442,1989,1726,1644,1624,1042,11375
West Bengal,2004,1117,1388,1582,2061,1774,1848,1258,1124,12152
West Bengal,2005,1067,1284,1626,2005,1709,1846,1629,1015,12181
West Bengal,2006,1143,1470,1772,2033,1897,1929,1825,1016,13085
West Bengal,2007,1203,1567,1621,2179,2106,2201,1752,1325,13954
West Bengal,2008,888,1150,1600,1960,1756,1689,1554,950,11547
West Bengal,2009,942,1353,1771,2427,2158,2256,1791,1261,13959
West Bengal,2010,1241,1397,1721,2508,2272,2296,1831,1459,14725
West Bengal,2011,1200,1493,1687,2553,2182,2196,1812,1345,14468
West Bengal,2012,1346,1511,1837,2831,2328,2268,1966,1521,15608
West Bengal,2013,1442,1911,2136,2900,2246,2366,2137,1411,16549
West Bengal,2014,1455,1634,2022,2998,2570,2458,2132,1836,17105
